item_id	quantity	x	y	plane	source	note
960	1	1202	3649	0	tyluur_gist_4cb93ba0_2f232f49	raw=Plank;method=exact
960	1	1203	3652	0	tyluur_gist_4cb93ba0_2f232f49	raw=Plank;method=exact
8794	1	1239	3696	0	tyluur_gist_4cb93ba0_2f232f49	raw=Saw;method=exact
1763	1	1240	3688	0	tyluur_gist_4cb93ba0_2f232f49	raw=Red_dye;method=exact
1765	1	1240	3688	0	tyluur_gist_4cb93ba0_2f232f49	raw=Yellow_dye;method=exact
590	1	1241	3703	0	tyluur_gist_4cb93ba0_2f232f49	raw=Tinderbox;method=scored_ambiguity
1931	1	1244	3680	0	tyluur_gist_4cb93ba0_2f232f49	raw=Pot;method=exact
314	1	1250	3687	0	tyluur_gist_4cb93ba0_2f232f49	raw=Feather;method=scored_ambiguity
314	1	1250	3693	0	tyluur_gist_4cb93ba0_2f232f49	raw=Feather;method=scored_ambiguity
952	1	1251	3735	0	tyluur_gist_4cb93ba0_2f232f49	raw=Spade;method=exact
1925	1	1251	3736	0	tyluur_gist_4cb93ba0_2f232f49	raw=Bucket;method=scored_ambiguity
1944	1	1252	3690	0	tyluur_gist_4cb93ba0_2f232f49	raw=Egg;method=scored_ambiguity
1944	1	1252	3691	0	tyluur_gist_4cb93ba0_2f232f49	raw=Egg;method=scored_ambiguity
314	1	1253	3692	0	tyluur_gist_4cb93ba0_2f232f49	raw=Feather;method=scored_ambiguity
314	1	1254	3688	0	tyluur_gist_4cb93ba0_2f232f49	raw=Feather;method=scored_ambiguity
1511	1	1256	3741	0	tyluur_gist_4cb93ba0_2f232f49	raw=Logs;method=scored_ambiguity
2347	1	1259	3686	0	tyluur_gist_4cb93ba0_2f232f49	raw=Hammer;method=exact
1511	1	1261	3740	0	tyluur_gist_4cb93ba0_2f232f49	raw=Logs;method=scored_ambiguity
1511	1	1262	3742	0	tyluur_gist_4cb93ba0_2f232f49	raw=Logs;method=scored_ambiguity
1947	1	1296	3717	0	tyluur_gist_4cb93ba0_2f232f49	raw=Grain;method=scored_ambiguity
1947	1	1296	3719	0	tyluur_gist_4cb93ba0_2f232f49	raw=Grain;method=scored_ambiguity
946	1	1297	3721	0	tyluur_gist_4cb93ba0_2f232f49	raw=Knife;method=scored_ambiguity
1947	1	1300	3718	0	tyluur_gist_4cb93ba0_2f232f49	raw=Grain;method=scored_ambiguity
528	1	1344	3697	0	tyluur_gist_4cb93ba0_2f232f49	raw=Burnt_bones;method=exact
687	1	1346	3706	0	tyluur_gist_4cb93ba0_2f232f49	raw=Broken_arrow;method=exact
526	1	1346	3792	0	tyluur_gist_4cb93ba0_2f232f49	raw=Bones;method=scored_ambiguity
528	1	1347	3703	0	tyluur_gist_4cb93ba0_2f232f49	raw=Burnt_bones;method=exact
526	1	1347	3787	0	tyluur_gist_4cb93ba0_2f232f49	raw=Bones;method=scored_ambiguity
687	1	1349	3694	0	tyluur_gist_4cb93ba0_2f232f49	raw=Broken_arrow;method=exact
528	1	1352	3706	0	tyluur_gist_4cb93ba0_2f232f49	raw=Burnt_bones;method=exact
526	1	1353	3781	0	tyluur_gist_4cb93ba0_2f232f49	raw=Bones;method=scored_ambiguity
526	1	1353	3787	0	tyluur_gist_4cb93ba0_2f232f49	raw=Bones;method=scored_ambiguity
528	1	1355	3693	0	tyluur_gist_4cb93ba0_2f232f49	raw=Burnt_bones;method=exact
687	1	1356	3710	0	tyluur_gist_4cb93ba0_2f232f49	raw=Broken_arrow;method=exact
687	1	1358	3699	0	tyluur_gist_4cb93ba0_2f232f49	raw=Broken_arrow;method=exact
528	1	1360	3702	0	tyluur_gist_4cb93ba0_2f232f49	raw=Burnt_bones;method=exact
687	1	1362	3725	0	tyluur_gist_4cb93ba0_2f232f49	raw=Broken_arrow;method=exact
2162	1	1363	3636	0	tyluur_gist_4cb93ba0_2f232f49	raw=King_worm;method=exact
2162	1	1364	3635	0	tyluur_gist_4cb93ba0_2f232f49	raw=King_worm;method=exact
2142	1	1367	3575	0	tyluur_gist_4cb93ba0_2f232f49	raw=Cooked_meat;method=scored_ambiguity
687	1	1368	3714	0	tyluur_gist_4cb93ba0_2f232f49	raw=Broken_arrow;method=exact
946	1	1369	3635	0	tyluur_gist_4cb93ba0_2f232f49	raw=Knife;method=scored_ambiguity
528	1	1370	3727	0	tyluur_gist_4cb93ba0_2f232f49	raw=Burnt_bones;method=exact
2162	1	1371	3633	0	tyluur_gist_4cb93ba0_2f232f49	raw=King_worm;method=exact
2162	1	1372	3635	0	tyluur_gist_4cb93ba0_2f232f49	raw=King_worm;method=exact
